Scammer Name,Platform,X Handle,Telegram Channel,Victims Count,Total Lost USD,Verification Level,Scam Type,Last Updated,Notes,Wallet Address,Evidence Links,Scan Date,Scanner,Additional Notes
"Jupiter Exchange",X,@JupiterExchange,,0,$0,VERIFIED,PROJECT ACCOUNT,2026-04-04,"Official Jupiter DEX account. Blue checkmark verified. 300K+ followers. Legitimate DeFi exchange. Risk Score: 0.2/10 (SAFE).",N/A,https://x.com/JupiterExchange,2026-04-04,Profile Verifier Test,"VERIFIED - Official exchange. Safe to interact with. No red flags detected."
"Raydium Protocol",X,@RaydiumProtocol,,0,$0,VERIFIED,PROJECT ACCOUNT,2026-04-04,"Official Raydium AMM account. Blue checkmark verified. 400K+ followers. Legitimate DeFi protocol. Risk Score: 0.2/10 (SAFE).",N/A,https://x.com/RaydiumProtocol,2026-04-04,Profile Verifier Test,"VERIFIED - Official protocol. Safe to interact with. No red flags detected."
"OpenSea",X,@opensea,,0,$0,VERIFIED,PROJECT ACCOUNT,2026-04-04,"Official OpenSea NFT marketplace. Blue checkmark verified. 800K+ followers. Legitimate NFT platform. Risk Score: 0.2/10 (SAFE).",N/A,https://x.com/opensea,2026-04-04,Profile Verifier Test,"VERIFIED - Official marketplace. Safe to interact with. No red flags detected."
"CoinDesk",X,@CoinDesk,,0,$0,VERIFIED,MEDIA OUTLET,2026-04-04,"Official CoinDesk news account. Blue checkmark verified. 3M+ followers. Legitimate crypto news outlet. Risk Score: 0.1/10 (SAFE).",N/A,https://x.com/CoinDesk,2026-04-04,Profile Verifier Test,"VERIFIED - Official news outlet. Safe to interact with. No red flags detected."
"CoinGecko",X,@coingecko,,0,$0,VERIFIED,MEDIA OUTLET,2026-04-04,"Official CoinGecko price tracker. Blue checkmark verified. 2M+ followers. Legitimate crypto data provider. Risk Score: 0.1/10 (SAFE).",N/A,https://x.com/coingecko,2026-04-04,Profile Verifier Test,"VERIFIED - Official data provider. Safe to interact with. No red flags detected."
"Vitalik Buterin",X,@VitalikButerin,,0,$0,VERIFIED,INFLUENCER,2026-04-04,"Ethereum co-founder. Blue checkmark verified. 800K+ followers. Legitimate crypto figure. Risk Score: 0.1/10 (SAFE).",N/A,https://x.com/VitalikButerin,2026-04-04,Profile Verifier Test,"VERIFIED - Legitimate crypto figure. Safe to interact with. No red flags detected."
"Elon Musk (Real)",X,@elonmusk,,0,$0,VERIFIED,PUBLIC FIGURE,2026-04-04,"Elon Musk official account. Blue checkmark verified. 200M+ followers. Legitimate public figure. Risk Score: 0.1/10 (SAFE).",N/A,https://x.com/elonmusk,2026-04-04,Profile Verifier Test,"VERIFIED - Legitimate public figure. Safe to interact with. Note: Never sends crypto or asks for deposits."
"Naval Ravikant",X,@naval,,0,$0,VERIFIED,INFLUENCER,2026-04-04,"AngelList founder. Blue checkmark verified. 2M+ followers. Legitimate investor/philosopher. Risk Score: 0.2/10 (SAFE).",N/A,https://x.com/naval,2026-04-04,Profile Verifier Test,"VERIFIED - Legitimate figure. Safe to interact with. No red flags detected."
"Balaji Srinivasan",X,@balajis,,0,$0,VERIFIED,INFLUENCER,2026-04-04,"Former Coinbase CTO. Blue checkmark verified. 1M+ followers. Legitimate crypto figure. Risk Score: 0.2/10 (SAFE).",N/A,https://x.com/balajis,2026-04-04,Profile Verifier Test,"VERIFIED - Legitimate crypto figure. Safe to interact with. No red flags detected."
"a_wood_chuck",X,@a_wood_chuck,,0,$0,LEGITIMATE,NORMAL USER,2026-04-04,"Crypto community member. No blue checkmark but legitimate. Consistent engagement. No scam indicators. Risk Score: 1.5/10 (LOW).",N/A,https://x.com/a_wood_chuck,2026-04-04,Profile Verifier Test,"LEGITIMATE - Normal user. No verified badge but no scam indicators. Organic engagement."
"ThreadGuy",X,@ThreadGuy1,,0,$0,LEGITIMATE,NORMAL USER,2026-04-04,"Crypto thread writer. No blue checkmark. Popular for educational threads. No scam indicators. Risk Score: 1.8/10 (LOW).",N/A,https://x.com/ThreadGuy1,2026-04-04,Profile Verifier Test,"LEGITIMATE - Content creator. No verified badge but provides educational content. Safe to follow."
"Degen News",X,@Degen_News,,0,$0,LEGITIMATE,NEWS AGGREGATOR,2026-04-04,"Crypto news aggregator. 50K+ followers. Legitimate news source. No scam indicators. Risk Score: 1.2/10 (LOW).",N/A,https://x.com/Degen_News,2026-04-04,Profile Verifier Test,"LEGITIMATE - News aggregator. Safe to follow. Verify any projects they promote independently."
"Solana Floor",X,@solana_floor,,0,$0,VERIFIED,NEWS AGGREGATOR,2026-04-04,"Solana NFT news. Blue checkmark verified. 100K+ followers. Legitimate news source. Risk Score: 0.3/10 (SAFE).",N/A,https://x.com/solana_floor,2026-04-04,Profile Verifier Test,"VERIFIED - News aggregator. Safe to follow. No red flags detected."
"NFT Calendar",X,@NFTCalendar_,,0,$0,LEGITIMATE,EVENT TRACKER,2026-04-04,"NFT launch calendar. 30K+ followers. Legitimate event tracker. No scam indicators. Risk Score: 1.4/10 (LOW).",N/A,https://x.com/NFTCalendar_,2026-04-04,Profile Verifier Test,"LEGITIMATE - Event tracker. Safe to follow. Verify any projects they promote independently."
"Whale Alert",X,@whale_alert,,0,$0,VERIFIED,TRACKER,2026-04-04,"Blockchain transaction tracker. Blue checkmark verified. 500K+ followers. Legitimate tracker. Risk Score: 0.2/10 (SAFE).",N/A,https://x.com/whale_alert,2026-04-04,Profile Verifier Test,"VERIFIED - Transaction tracker. Safe to follow. No red flags detected."
"Etherscan",X,@etherscan,,0,$0,VERIFIED,BLOCK EXPLORER,2026-04-04,"Ethereum block explorer. Blue checkmark verified. 300K+ followers. Legitimate tool. Risk Score: 0.1/10 (SAFE).",N/A,https://x.com/etherscan,2026-04-04,Profile Verifier Test,"VERIFIED - Block explorer. Safe to use. No red flags detected."
"DexScreener",X,@dexscreener,,0,$0,VERIFIED,TRACKER,2026-04-04,"DEX price tracker. Blue checkmark verified. 200K+ followers. Legitimate tracker. Risk Score: 0.2/10 (SAFE).",N/A,https://x.com/dexscreener,2026-04-04,Profile Verifier Test,"VERIFIED - Price tracker. Safe to use. No red flags detected."
"Uniswap",X,@Uniswap,,0,$0,VERIFIED,PROJECT ACCOUNT,2026-04-04,"Official Uniswap DEX. Blue checkmark verified. 1M+ followers. Legitimate DeFi protocol. Risk Score: 0.1/10 (SAFE).",N/A,https://x.com/Uniswap,2026-04-04,Profile Verifier Test,"VERIFIED - Official DEX. Safe to use. No red flags detected."
